SE No.,Book Title,Author,Publication Year,Original Language,Genre,No. of Words,Time,Reading Ease (no.),Reading Ease (Category),Translated By,Illustrated by,Part of a Series,Cover Page Artwork Adapted from,Cover Page Artwork Completed in,Cover Page Artist,Typefaces (on the cover and the title pages),Typefaces created by,Release Date and Time (on Standard Ebooks),Download (or Read Online)
0000001,A Princess of Mars,Edgar Rice Burroughs,1912,English,Fantasy,"67,187",4 hours 5 minutes,59.47,Average difficulty,,,Yes,"With My Back Against a Golden Throne, I Fought Once Again for Dejah Thoris",1917,Frank E. Schoonover,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000002,The Narrative of Arthur Gordon Pym of Nantucket,Edgar Allan Poe,1838,English,"Adventure, Fiction","70,820",4 hours 18 minutes,51.21,Fairly difficult,,,No,De Windstoot,1680,Willem van de Velde the Younger,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000003,The Turn of the Screw,Henry James,1898,English,"Fiction, Horror","43,377",2 hours 38 minutes,79.19,Easy,,,No,A Wintry Moon,1886,John Atkinson Grimshaw,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000004,Walden,Henry David Thoreau,1854,English,"Nonfiction, Philosophy","106,990",6 hours 30 minutes,59.77,Average difficulty,,,No,Mill in the Forest,1897,Ivan Ivanovich Shishkin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000005,The Lady of the Barge,W. W. Jacobs,1902,English,"Fiction, Shorts","47,166",2 hours 52 minutes,82.24,Easy,,,No,Barges at Pontoise,1876,Camille Pissarro,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000006,Candide,Voltaire,1759,French,Satire,"33,802",2 hours 3 minutes,68.2,Average difficulty,The Modern Library,,No,"Voltaire à son lever à Ferney, dictant à son secrétaire Collini",1772,Jean Huber,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000007,Meditations,Marcus Aurelius,1862,Koine Greek,Philosophy,"45,696",2 hours 47 minutes,61.5,Average difficulty,George Long,,No,After the Audience,1879,Sir Lawrence Alma-Tadema,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000008,The Time Machine,H. G. Wells,1895,English,Science Fiction,"32,551",1 hour 59 minutes,71.04,Fairly easy,,,No,The Black Marble Clock,1870,Paul Cézanne,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000009,The Jungle,Upton Sinclair,1906,English,Fiction,"150,913",9 hours 9 minutes,72.8,Fairly easy,,,No,The Coffee House,1906,Alson Skinner Clark,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000010,The Book of Wonder,Lord Dunsany,1912,English,"Fantasy, Shorts","23,006",1 hour 24 minutes,66.2,Average difficulty,,Sidney H. Sime,No,A City on a Rock,1875,Anonymous (in the style of Francisco Goya),League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000011,Alice’s Adventures in Wonderland,Lewis Carroll,1865,English,"Children’s, Fiction","27,389",1 hour 40 minutes,78.99,Fairly easy,,John Tenniel,Yes,Amanita,1879,Ivan Shishkin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000012,Confessions of an English Opium-Eater,Thomas De Quincey,1821,English,"Autobiography, Nonfiction","36,772",2 hours 14 minutes,44.61,Difficult,,,No,Champ de Coquelicots: Environs de Giverny,1885,Claude Monet,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000013,Tao Te Ching,Laozi,-600,Classical Chinese,"Philosophy, Spirituality","25,290",1 hour 32 minutes,67.28,Average difficulty,James Legge,,No,"The Kangxi Emperor’s Southern Inspection Tour, Scroll Three: Ji’nan to Mount Tai",1698,Wang Hui,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000014,Dracula,Bram Stoker,1897,English,"Fiction, Horror","162,184",9 hours 50 minutes,77.57,Fairly easy,,,No,Italian Landscape of Ruins in the Moonlight,1850,Joseph Magnus Stäck,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000015,Beyond Good and Evil,Friedrich Nietzsche,1886,German,Philosophy,"63,625",3 hours 52 minutes,35.54,Very difficult,Helen Zimmern (From the Heights was translated by L. A. Magnus),,No,The Garden of Earthly Delights,1490-1510,Hieronymus Bosch,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000016,Around the World in Eighty Days,Jules Verne,1873,French,"Adventure, Fiction","63,263",3 hours 51 minutes,62.27,Average difficulty,George Makepeace Towle,,Yes,Train on the Way,1895,Isaac Ilyich Levitan,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000017,The Surprising Adventures of Baron Munchausen,Rudolph Erich Raspe,1785,English,"Comedy, Fantasy, Satire","52,646",3 hours 12 minutes,46.14,Difficult,,,No,Baron Münchhausen Underwater,1896,Gottfried Franz,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000018,Heart of Darkness,Joseph Conrad,1899,English,Fiction,"38,792",2 hours 22 minutes,71.44,Fairly easy,,,No,Brazilian Rainforest,1848,William Michaud von Vevey,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000019,North of Boston,Robert Frost,1914,English,Poetry,"17,941",1 hour 6 minutes,93.34,Very easy,,,No,The White Fence,1849,William Merritt Chase,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000020,The Worst Journey in the World,Apsley Cherry-Garrard,1922,English,"Memoir, Nonfiction, Travel","241,375",14 hours 38 minutes,66.37,Average difficulty,,,No,Das Eismeer,1824,Caspar David Friedrich,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000021,Short Fiction,Anton Chekhov,1880,Russian,"Fiction, Shorts","801,707",48 hours 36 minutes,71.65,Fairly easy,Constance Garnett,,No,Portrait of Anton Pavlovich Chekhov,1898,Osip Braz,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000022,Pride and Prejudice,Jane Austen,1813,English,Fiction,"122,650",7 hours 26 minutes,60.95,Average difficulty,,,No,A Wet Sunday Morning,1896,Edmund Blair Leighton,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000023,Dubliners,James Joyce,1914,English,"Fiction, Shorts","68,797",4 hours 11 minutes,73.78,Fairly easy,,,No,"In a Dublin Park, Light and Shade",1895,Walter Frederick Osborne,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000024,Lyrical Ballads,"William Wordsworth",1798,English,Poetry,"55,522",3 hours 22 minutes,68.74,Average difficulty,,,No,Der Wanderer über dem Nebelmeer,1818,Caspar David Friedrich,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000025,Idylls of the King,"Alfred",1859,English,Poetry,"84,964",5 hours 9 minutes,73.44,Fairly easy,,,No,God Speed,1900,Edmund Blair Leighton,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000026,White Fang,Jack London,1906,English,"Adventure, Fiction","72,795",4 hours 25 minutes,81.22,Easy,,,No,The Lone Wolf (A Winternight in Lithuania),1849,Alfred Kowalski,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000027,The Call of the Wild,Jack London,1903,English,"Adventure, Fiction","32,031",1 hour 57 minutes,77.47,Fairly easy,,,No,Winternight,1849-1915,Alfred Kowalski,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000028,The Mysterious Affair at Styles,Agatha Christie,1920,English,"Fiction, Mystery","57,826",3 hours 31 minutes,77.03,Fairly easy,,,Yes,The Mysterious Affair at Styles,1920,Alfred James Dewey,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000029,The Picture of Dorian Gray,Oscar Wilde,1890,English,Fiction,"79,767",4 hours 51 minutes,75.5,Fairly easy,,,No,The Garden,1899,John Collier,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000030,The Importance of Being Earnest,Oscar Wilde,1895,English,"Comedy, Drama, Satire","20,841",1 hour 16 minutes,69.99,Fairly easy,,,No,Aubrey Beardsley,1895,Jacques-Émile Blanche,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000031,The Rubáiyát of Omar Khayyám,Omar Khayyám,1859,Persian,Poetry,"7,032",26 minutes,58.86,Fairly difficult,Edward FitzGerald,,No,Quatrain XI,1909,Edmund Dulac,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000032,The Prince,Niccolò Machiavelli,1532,Italian,Philosophy,"35,019",2 hours 8 minutes,40.55,Difficult,W. K. Marriott,,No,Niccolò Machiavelli,1550,Santi di Tito,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 25, 2014, 12:00 a.m.",Download
0000033,Treasure Island,Robert Louis Stevenson,1883,English,"Adventure, Children’s, Fiction","69,765",4 hours 14 minutes,77.67,Fairly easy,,,No,"One More Step, Mr. Hands",1911,N. C. Wyeth,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 15, 2015, 11:09 a.m.",Download
0000034,Frankenstein,Mary Shelley,1818,English,"Horror, Science Fiction","77,997",4 hours 44 minutes,56.29,Fairly difficult,,,No,Portrait of Adam,1578,Giuseppe Arcimboldo,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 12, 2015, 12:01 a.m.",Download
0000035,The Adventures of Huckleberry Finn,Mark Twain,1884,English,"Children’s, Fiction","115,479",7 hours,85.52,Easy,,,No,Back to the Farm,1908,N. C. Wyeth,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 12, 2015, 12:01 a.m.",Download
0000036,Short Fiction,Stanley G. Weinbaum,1934,English,"Science Fiction, Shorts","48,348",2 hours 56 minutes,74.39,Fairly easy,,,No,Night,1905,Mikalojus Konstantinas Čiurlionis,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 12, 2015, 12:01 a.m.",Download
0000037,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886,English,"Horror, Science Fiction","25,820",1 hour 34 minutes,66.98,Average difficulty,,,No,Double Portrait of Marées and Lenbach,1863,Hans von Marées,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 12, 2015, 12:01 a.m.",Download
0000038,Siddhartha,Hermann Hesse,1922,German,"Fiction, Spirituality","39,672",2 hours 25 minutes,66.57,Average difficulty,"Gunther Olesch, Anke Dreher, Amy Coulter, Stefan Langer, Semyon Chaichenets",,No,The Victory of Buddha,1914,Abanindranath Tagore,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 16, 2015, 9:19 p.m.",Download
0000039,David Copperfield,Charles Dickens,1850,English,Fiction,"361,433",21 hours 55 minutes,70.13,Fairly easy,,,No,The Writer,1850,Carl Spitzweg,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 19, 2015, 4:55 a.m.",Download
0000040,The Lost World,Arthur Conan Doyle,1912,English,"Adventure, Fantasy","76,467",4 hours 39 minutes,70.23,Fairly easy,,,Yes,Brontosaurus,1897,Charles R. Knight,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 22, 2015, 1:00 a.m.",Download
0000041,A Connecticut Yankee in King Arthur’s Court,Mark Twain,1889,English,Fantasy,"119,581",7 hours 15 minutes,75.64,Fairly easy,,,No,"Sir Mador’s Spear Brake All to Pieces, but the Other’s Spear Held",1922,N. C. Wyeth,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 7, 2015, 8:22 p.m.",Download
0000042,The Duel,Anton Chekhov,1891,Russian,Fiction,"40,462",2 hours 28 minutes,71.34,Fairly easy,Constance Garnett,,No,Eugene Onegin and Vladimir Lensky’s Duel,1899,Ilya Repin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 8, 2015, 10:59 p.m.",Download
